id_cliente,horas_consumo_mensual,gasto_mensual,cantidad_contenidos_vistos,sesiones_semana,porcentaje_finalizacion,tiempo_promedio_sesion_min,cantidad_generos_consumidos,porcentaje_uso_promociones,antiguedad_cliente_meses,edad,dispositivos_registrados,porcentaje_uso_app_movil,cantidad_perfiles_creados,interacciones_mensuales_soporte,distancia_promedio_red_km,cluster,pc1,pc2
1001,49,76,3,6,49,56,4,0.7855112476775208,28,52,2,0.29,5,3,34.1,1,-2.235468291744135,-1.0491865139855996
1002,59,396,26,8,88,211,14,0.0156912762684531,76,69,3,0.47,5,4,2.4,2,3.516336568330285,-1.624009657828357
1003,43,91,9,3,62,5,2,0.7491282365758885,15,51,1,0.78,1,7,63.6,1,-2.5600748530790103,-0.9669020380432483
1004,51,77,8,4,62,5,4,0.5100177544559401,5,58,2,0.27,3,6,6.5,1,-2.127862034345065,-1.7578000412889516
1005,36,212,74,7,51,85,5,0.4031384441857476,48,68,5,0.75,4,0,38.5,0,-0.25216624922432007,1.5294660756329994
1006,28,188,66,21,69,169,8,0.3814631437520095,31,64,1,0.88,1,4,45.3,0,0.8466628892344267,2.461418827652386
1007,30,295,40,11,75,92,8,0.2735406596951892,42,35,2,0.51,3,6,50.6,0,0.9014855483280587,0.5987095595375435
1008,39,495,14,4,71,299,14,0.1251719831428472,97,28,2,0.84,4,6,55.4,2,4.077146757352833,-1.4406001468957037
1009,49,30,5,4,13,20,4,0.7663349627364544,2,40,3,0.6,2,7,21.0,1,-3.3458257331007073,-1.8325520925444136
1010,45,61,12,1,44,37,1,0.6867225060416018,11,65,3,0.67,3,3,1.8,1,-2.9678588934185433,-1.3686925224456874
1011,19,131,22,5,72,99,4,0.1826737439506981,48,39,5,0.57,5,6,58.2,0,-0.3335514759998132,0.33253721323596397
1012,42,261,23,2,98,154,11,0.0142377296920457,47,34,2,0.52,1,7,43.3,2,2.24095273588457,-1.4548505517701564
1013,58,339,39,2,88,224,11,0.0236329655243312,92,22,2,0.31,3,6,67.1,2,3.712157665243513,-1.5459714739416732
1014,32,194,48,8,64,80,7,0.2128138290285226,29,61,3,0.37,3,0,65.9,0,-0.06445849258978902,1.2699059678740368
1015,19,271,54,21,74,171,6,0.2488072343171132,58,28,1,0.36,5,0,67.6,0,1.5147462811012735,2.987664700398092
1016,38,270,51,9,51,172,9,0.400348427116599,44,47,1,0.61,4,5,39.3,0,0.9231871569046393,0.37072688307543905
1017,17,224,49,21,88,121,6,0.4305829864430966,41,32,4,0.21,2,4,27.4,0,0.6178884245498142,2.1517783138174402
1018,30,88,19,0,45,16,1,0.7432291858515583,12,44,3,0.93,5,2,63.5,1,-3.1149896841339415,0.12651794084131898
1019,26,100,14,6,61,87,2,0.5791023273018796,21,52,4,0.75,2,7,36.7,1,-1.9398898624166614,-0.2921646003504057
1020,19,218,31,24,60,159,7,0.4166316174903394,58,50,3,0.46,4,1,15.5,0,0.5741482994552676,2.109856848543188
1021,31,34,3,6,38,79,2,0.781191166384481,9,37,5,0.24,3,7,68.5,1,-3.1359340805825626,-0.5413958778960498
1022,24,264,57,11,85,72,4,0.2586606407817007,46,33,2,0.89,2,2,70.7,0,0.6439260073995732,1.9651468092311375
1023,40,124,48,9,77,142,7,0.2482568588267563,36,51,5,0.84,1,4,37.8,0,0.5615553760963945,0.32781658214517306
1024,24,118,13,3,45,74,4,0.2501004300192013,29,19,3,0.75,1,1,7.0,1,-1.013792579968196,-0.5563494431658821
1025,44,103,19,6,12,49,1,0.4431212520688503,26,52,2,0.34,5,2,31.6,1,-2.445951273269537,-0.5189559672858804
1026,49,566,18,7,70,250,13,0.0749741159047408,88,57,1,0.46,4,5,64.5,2,3.780392339767369,-1.2458413443705818
